id,lesson_id,term,meaning,pronunciation,word_class,example_sentence,vietnamese_term,vietnamese_meaning,english_headword_id,vietnamese_headword_id,is_common,created_at,updated_at
01508c6f-6a7d-4ecd-833f-6c05d70c8b19,d0d60af4-a86f-4442-a1a0-892d2a5cdbd3,Nihilism,Nothing meaning belief,ˈnaɪ.ə.lɪz.əm,noun,Nihilism values denies.,Vô chủ nghĩa,Niềm tin,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
0159b9e6-5974-405e-88c8-99eda9ac20cc,fed0d635-a1bb-4732-bb7a-b8caf4c21b12,suitcase,large bag with wheels,/suitcase/,danh từ,suitcase example,suitcase,Một khái niệm liên quan đến travel,,,true,2026-03-18 23:27:06.141,2026-03-18 23:27:06.141
01f5e11b-92d9-46d6-afc1-518615bfa168,3ee29751-c03a-4df1-b428-51e2797aba31,Existentialism,Existence philosophy,ˌɛɡ.zɪˈstɛn.ʃə.lɪz.əm,noun,Existentialism freedom.,Hiện sinh chủ,Triết học,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
0221b985-f7cd-4e10-8736-c508cfae2b59,29889dcf-a772-4499-bf3b-826af93ea3b0,Tired,Feeling exhaustion,ˈtaɪɚd,adjective,I tired after work.,Mệt,Cảm giác mỏi,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
0246e9a8-5a4b-4d09-88d5-ed81ec4a86e7,d57a850d-30c0-4988-a53f-fc9638884178,Stoicism,Virtue philosophy,ˈstoʊ.ɪ.sɪz.əm,noun,Stoicism teaches acceptance.,Khắc kỷ,Triết học,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
026754f8-e905-4203-8b1b-7e525581bcd3,0ceda941-9b55-403f-abf7-fb080315789d,thursday,the fifth day of the week; the day after Wednesday,ˈθɜːrzdeɪ,danh từ,Thursday I play ball,thứ năm,Ngày thứ năm của tuần; ngày sau Thứ tư,,,true,2026-03-18 23:22:53.645,2026-03-18 23:22:53.645
02ca1090-200c-4faa-bd26-1b66835dcb6d,1e70a4e8-5e55-4666-9f9b-2ba140d9031b,doctor,person who treats sick people,/doctor/,danh từ,doctor example,bác sĩ,Một khái niệm liên quan đến jobs,,,true,2026-03-18 23:27:06.141,2026-03-18 23:27:06.141
02e80b5d-0aa4-4a65-bb78-b76b44117883,d0d60af4-a86f-4442-a1a0-892d2a5cdbd3,Vice,Moral fault,vaɪs,noun,Vice unhappiness.,Tội lỗi,Lỗi đạo,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
030ba0d7-b886-4b59-a09f-24f08ce6a718,3bbde304-12b8-40b2-a620-510efc4a776f,Nine,Number 9,naɪn,number,I have nine flowers.,Chín,Số 9,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
0310df17-66a0-4046-89b8-edd31d841089,3ee29751-c03a-4df1-b428-51e2797aba31,Dialectic,Argument method,daɪˈælɛk.tɪk,noun,Hegel dialectic used.,Biện luận,Phương pháp,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
03270dfe-9deb-496e-b929-9328ddd4801c,644fe377-999e-4856-ae36-3bbea5352c69,Grandmother,Mother of parent,ˈɡræn.ˌmʌð.ɚ,noun,Grandmother tells stories.,Bà,"Ngoại, nội",,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
033910a0-6447-4340-854e-17cca55b77cb,cdf5e6d8-efec-4421-8c70-814cd0fff4e7,cash,physical currency,/cash/,danh từ,cash example,cash,Một khái niệm liên quan đến finance,,,true,2026-03-18 23:27:06.141,2026-03-18 23:27:06.141
0372a3a8-3ff5-492b-a219-5ff8f201314b,967cb953-d9f0-413d-9444-c2de97d17102,Genre,Category of art,ˈʒɑn.rə,noun,Mystery is my genre.,Thể loại,Danh mục nghệ thuật,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
0385c29e-2371-4b0a-951c-5bf334e1bf75,f5e165ea-d9f9-45d5-90d3-2acf41ea2d21,ten,the number 10; ten fingers and toes,ten,danh từ,Ten is round number,số mười,Số 10; mười ngón tay và ngón chân,,,true,2026-03-18 23:22:53.645,2026-03-18 23:22:53.645
0397193e-73b0-4ddf-9f31-1b1f617ada72,923f19cb-bd8c-4b71-b762-0f409c965762,Ethics,Moral principles,ˈɛθ.ɪks,noun,Ethics guide decisions.,Đạo đức,Nguyên tắc,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
03a8dca3-b63d-444d-b79e-5c25ffab3230,1e983eef-be0a-4a27-abd9-c548efdf1633,Aunt,Parent sister,ænt,noun,Aunt bakes cakes.,Cô dì,Chị em bố mẹ,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
03bf0531-624d-4b5d-926d-7433ea391193,169b29f8-cd25-4fd5-9e0c-bcf9fdd56b6a,I am fine,Good response,ˌaɪm ˈfaɪn,phrase,I am fine thanks.,Tôi khỏe,Phản hồi tốt,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
03c6a332-5495-46db-80a6-0f8b1fd57df6,563bcdd8-3e04-4744-947b-08885bc9308b,Son,Male child,sʌn,noun,He has son.,Con trai,Đứa con nam,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
03c6dfdd-4ae5-43b5-aa10-46f85668af04,411c419a-c126-40a3-bbe9-068a951b9026,One,Number 1,wʌn,number,I have one cat.,Một,Số 1,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
03d00135-30c8-4ff3-8136-fa7e136a1127,d57a850d-30c0-4988-a53f-fc9638884178,Ethics,Moral principles,ˈɛθ.ɪks,noun,Ethics guide decisions.,Đạo đức,Nguyên tắc,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
03d23598-9502-459d-b4b1-ae0b457712d4,805d2653-cac0-438b-953b-cb1f832c4321,Logic,Reasoning system,ˈlɑdʒ.ɪk,noun,Logic basis philosophy.,Lôgic,Hệ thống,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
03d9be4a-77d7-47a6-979d-2b559f53e0e1,c4f69ac2-b089-44ca-a48e-67f1636f0314,mother,a female parent; mom; woman who has children,ˈmʌðər,danh từ,My mother loves me,mẹ,Người mẹ; phụ nữ lớn tuổi nhất; người mẹ,,,true,2026-03-18 23:22:53.645,2026-03-18 23:22:53.645
043c95f0-695b-4d1d-82f9-5643bd403e8a,6b254450-7004-433c-bf69-1fb053a62f52,Sad,Feeling sorrow,sæd,adjective,He feels sad loss.,Buồn,Cảm giác buồn,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
04c89306-6090-4789-be91-3e8ef71bcbf7,370abe73-2ce6-40b0-b3ef-82d8f9857e1f,Pragmatism,Results based,ˈpræɡ.mə.tɪz.əm,noun,Pragmatism results.,Thực dụng,Dựa trên,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
04cb31dd-03a1-4d0c-bc04-aa93c5d60faf,dab29c7e-633e-4611-83f9-6a1781fed230,Ontology,Existence study,ɑnˈtɑl.ə.dʒi,noun,Ontology explores reality.,Bản thể luận,Sự tồn tại,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
04dc0c84-a42a-4357-ad0d-dfe8de649bb4,ac13c7e8-492c-46d1-b46e-755272c6d9d6,Ethics,Moral principles,ˈɛθ.ɪks,noun,Ethics guide decisions.,Đạo đức,Nguyên tắc,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
04e35180-31ca-458b-9542-3429765f19e1,c4423548-9463-45ef-bc70-285c0c8c3ea1,Virtue,Moral quality,ˈvɝ.tʃu,noun,Virtue happiness path.,Đức hạnh,Phẩm chất,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
0512a585-8f02-4101-b4af-eb28595f0bfb,b16db79c-1b16-46bf-9bd8-3596a44d8609,Uncle,Parent brother,ˈʌŋ.kəl,noun,Uncle visits every week.,Chú bác,Anh em bố mẹ,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
0559b7c4-c59a-4a0e-b14e-ae86dd26417a,afa3e499-8717-431c-93a3-3d851d68fc7e,Son,Male child,sʌn,noun,He has son.,Con trai,Đứa con nam,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
05767400-36ee-4608-b31a-6fc602556a80,7cf8f06f-0441-4076-a651-76da132eb2bf,Twelve,Number 12,twɛlv,number,Twelve months here.,Mười hai,Số 12,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
057fc74d-0e86-408c-8d1d-34de54eab4ce,88443e68-aebe-44f0-800c-c17266b21ff9,Angry,Feeling rage,ˈæŋ.ɡri,adjective,She is angry us.,Tức giận,Cảm giác giận,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
05834635-9e4a-422d-9c57-b4c28dc0834b,0ceda941-9b55-403f-abf7-fb080315789d,august,the eighth month of the year; summer month,ˈɔːɡəst,danh từ,August is still hot,tháng tám,Tháng thứ tám của năm; tháng mùa hè,,,true,2026-03-18 23:22:53.645,2026-03-18 23:22:53.645
05ab7e74-e43a-4918-8132-7b4ee378f957,0a01cbc9-8eaf-40d0-85f9-f4ad9a7fd19c,Conflict,Main problem,ˈkɑn.flɪkt,noun,Conflict drives the plot.,Xung đột,Vấn đề chính,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
05d69c42-3d85-462f-8c63-de54f37c8267,819c177f-eeaa-482b-9a10-e90cca890e76,Worried,Feeling anxiety,ˈwɝ.id,adjective,Worried exam.,Lo lắng,Cảm giác lo,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
065cf12d-1ac4-4826-801a-3480e412d11b,764cc2ce-f217-4c78-9799-04685ba95ab7,dress,a one-piece garment for women,dres,danh từ,Pretty dress for party,váy đầm,quần áo một mảnh cho nữ,,,true,2026-03-18 23:26:07.668,2026-03-18 23:26:07.668
067b18b2-d860-4fb4-8e03-25290cc16fd8,923f19cb-bd8c-4b71-b762-0f409c965762,Ontology,Existence study,ɑnˈtɑl.ə.dʒi,noun,Ontology explores reality.,Bản thể luận,Sự tồn tại,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
06823cc6-bae7-4c10-a12b-82ce4f393e0b,34931917-34dc-4ea8-af60-d0d01b00cc86,deadline,time limit for completion,/deadline/,danh từ,deadline example,deadline,Một khái niệm liên quan đến business,,,true,2026-03-18 23:27:06.141,2026-03-18 23:27:06.141
06e3b3de-0fee-4155-8a02-d0eec7ed029e,c93ab659-8f04-4947-b4fc-e9b66409b54f,Dialectic,Argument method,daɪˈælɛk.tɪk,noun,Hegel dialectic used.,Biện luận,Phương pháp,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
07045dc6-41d0-4338-b7a3-64ffdfa9cf07,c1c8f750-8c0e-4b88-89d9-149307fdb3e2,crafting,making items with hands,/crafting/,danh từ,crafting example,crafting,Một khái niệm liên quan đến hobbies,,,true,2026-03-18 23:27:06.141,2026-03-18 23:27:06.141
0712fd65-afe2-4bde-ad62-33b2aa20306a,484c0e0d-e1af-4005-87ba-675dd65a4bae,Son,Male child,sʌn,noun,He has son.,Con trai,Đứa con nam,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
0728285e-9ee7-4c18-b362-7193ed93042a,444c779c-e14e-4d61-8461-f6ecf6ddf27b,Jealous,Feeling envy,ˈdʒɛl.əs,adjective,Jealous sister.,Ghen tị,Cảm giác ghen,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
0767547b-9009-46f0-afeb-008abd0c7c58,e62729fd-2c68-41d8-8dea-aec377434133,Pragmatism,Results based,ˈpræɡ.mə.tɪz.əm,noun,Pragmatism results.,Thực dụng,Dựa trên,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
0774abdd-2d27-4fd7-91ba-081c670a2094,b48f8788-ab02-4e87-a86b-e4cda07b2a8d,Baby,Young child,ˈbeɪ.bi,noun,Baby is sleeping.,Em bé,Trẻ sơ sinh,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
07c2ff88-483e-4cfa-a794-4b994784b7ea,84b45efa-148b-4307-94b0-ebaae6c7b32a,Ethics,Moral principles,ˈɛθ.ɪks,noun,Ethics guide decisions.,Đạo đức,Nguyên tắc,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
07c811fe-4458-47be-970d-f68c071b7644,c326f285-fc07-4764-a284-b7222d917173,Husband,Married man,ˈhʌz.bənd,noun,Her husband is doctor.,Chồng,Người đàn ông kết,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
07c9f1eb-6899-47da-8403-5cf8360d49c5,0c65a440-ca84-4f96-a502-a5c9aebdef77,sprite,a lemon-lime flavored soda,/sprite/,danh từ,Sprite is cold,sprite,soda vị chanh-bạc hà,,,true,2026-03-18 23:26:07.668,2026-03-18 23:26:07.668
07cf7430-f40c-46bc-ac20-9d1f6a4c7023,e62729fd-2c68-41d8-8dea-aec377434133,Ethics,Moral principles,ˈɛθ.ɪks,noun,Ethics guide decisions.,Đạo đức,Nguyên tắc,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
07d5333f-e162-4c3e-b3a5-e15b9989c384,1a91724d-2d99-4c3f-a140-ea1e6c617aeb,Five,Number 5,faɪv,number,I have five fingers.,Năm,Số 5,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
07db0146-7720-44a1-afbd-8a1c81090d73,f35e320a-ec1d-497e-90b9-830150a5f34d,Aesthetics,Beauty study,ɛsˈθɛt.ɪks,noun,Aesthetics beauty.,Thẩm mỹ,Nghiên cứu,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
07e35e58-a50b-4c32-a200-be638e21aa62,f5e165ea-d9f9-45d5-90d3-2acf41ea2d21,first,1st position; not second,/first/,danh từ,He finished first,thứ nhất,Vị trí đầu tiên; không phải thứ hai,,,true,2026-03-18 23:22:53.645,2026-03-18 23:22:53.645
07f55d9d-a145-41d7-8181-ea68446921ae,370abe73-2ce6-40b0-b3ef-82d8f9857e1f,Nihilism,Nothing meaning belief,ˈnaɪ.ə.lɪz.əm,noun,Nihilism values denies.,Vô chủ nghĩa,Niềm tin,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
081ab0fb-3fd8-4897-ab24-a33a0a99a6ea,c19483d2-a4f7-462e-a5b8-6fb57f61ef95,Mother,Female parent,ˈmʌð.ɚ,noun,My mother is kind.,Mẹ,Cha mẹ nữ,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
0862407d-c8e6-4773-9316-26811c6f262f,0f7467d0-de49-4732-a5eb-3d62ebbb0bf2,cat,a domestic animal that meows; popular pet,kæt,danh từ,Cat likes chair,mèo,Một con vật nuôi phổ biến; vật nuôi kêu meo,,,true,2026-03-18 23:22:53.645,2026-03-18 23:22:53.645
08764660-0b0d-4655-be4c-1dfc35950a7a,5dd944a2-6707-4592-a3c4-99c480de8197,Happy,Feeling joy,ˈhæp.i,adjective,I am happy today.,Vui,Cảm giác vui,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
087ca068-2f5d-4825-b20d-3d28c85d4c84,0a01cbc9-8eaf-40d0-85f9-f4ad9a7fd19c,Climax,Peak of tension,ˈklaɪ.mæks,noun,The climax happened suddenly.,Đỉnh điểm,Điểm cao nhất,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
08aadd19-43a3-4303-8ac5-d945b82b84cf,ef83ea3c-996c-4048-8968-7237e72a6e5d,Uncle,Parent brother,ˈʌŋ.kəl,noun,Uncle visits every week.,Chú bác,Anh em bố mẹ,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
08f52c44-22b8-4ba4-8a88-099c9ceb4d6f,79c47bf8-ccad-4d92-807d-c7cdafd034c0,Lonely,Feeling isolation,ˈloʊn.li,adjective,She lonely sometimes.,Cô đơn,Cảm giác cô,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
09411bb1-3c51-4bd9-9546-109e58354943,819c177f-eeaa-482b-9a10-e90cca890e76,Lonely,Feeling isolation,ˈloʊn.li,adjective,She lonely sometimes.,Cô đơn,Cảm giác cô,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
0958ef15-9f73-4f9d-9acc-3dfd5200e882,563bcdd8-3e04-4744-947b-08885bc9308b,Wife,Married woman,waɪf,noun,His wife is teacher.,Vợ,Người phụ nữ kết,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
0989f0b8-f185-413e-bc87-87856832d1d1,cdbc767d-9b38-4792-a420-be0b00b83339,Grandfather,Father of parent,ˈɡræn.ˌfɑ.ðɚ,noun,Grandfather is wise.,Ông,"Ngoại, nội",,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
09a6fc89-f0a9-4094-acdb-26aae91250dc,9c08d2d5-ab12-4b90-9273-35e16928fd20,Aunt,Parent sister,ænt,noun,Aunt bakes cakes.,Cô dì,Chị em bố mẹ,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
09b803d2-0d53-4345-a559-7ffaa47e6cf9,d4986ac8-fc5b-4d7c-9960-c7a32512ee69,Good morning,Morning greeting,ˌɡʊd ˈmɔr.nɪŋ,phrase,Good morning today.,Chào sáng,Lời chào sáng,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
0a1867ea-9064-43cf-a1b5-c2b10ef19f42,23517e96-f9dd-4318-8b61-083c140556f8,Stoicism,Virtue philosophy,ˈstoʊ.ɪ.sɪz.əm,noun,Stoicism teaches acceptance.,Khắc kỷ,Triết học,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
0a3217b3-217c-405a-aed1-59d9b9b44a99,2d825671-b231-4d6a-9c0c-5ec2fa5d7d70,Family,Relatives group,ˈfæm.ə.li,noun,My family is happy.,Gia đình,Nhóm thân,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
0a3867b9-a46b-460f-921a-2cc36c49b9db,0ceda941-9b55-403f-abf7-fb080315789d,october,the tenth month of the year; autumn month,ɑːkˈtoʊbər,danh từ,October is cool,tháng mười,Tháng thứ mười của năm; tháng mùa thu,,,true,2026-03-18 23:22:53.645,2026-03-18 23:22:53.645
0a50429e-03da-49bb-a883-821b557cc74a,3bbde304-12b8-40b2-a620-510efc4a776f,Six,Number 6,sɪks,number,I have six apples.,Sáu,Số 6,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
0aa19f99-2712-4005-9f90-6013a1ada0d8,501a150d-fbe9-48ce-be53-52a6f1aeb3ff,Worried,Feeling anxiety,ˈwɝ.id,adjective,Worried exam.,Lo lắng,Cảm giác lo,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
0acfc3ad-aa60-4814-8963-68c1e33002e3,3bbde304-12b8-40b2-a620-510efc4a776f,Eight,Number 8,eɪt,number,I have eight pens.,Tám,Số 8,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
0ae8a5c2-ba6f-46e5-9e34-216c7727fa8f,ddea0c96-bacc-484f-9d4d-66d741cc51d8,Have nice day,Wishful farewell,ˌhæv ə ˌnaɪs ˈdeɪ,phrase,Have nice day!,Chúc ngày tốt,Lời chúc,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
0af9df9e-348f-4257-8914-492de11701f1,12c09afc-e4cd-4cc3-b911-1e5d9e07c387,Proud,Feeling pride,praʊd,adjective,I proud you.,Tự hào,Cảm giác hạnh,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
0b043ebc-a5fb-44c2-b8fc-034c479de3eb,859a1e12-e633-40e5-b4e2-b7e9dfd2a7d7,scarlet,a bright red color; vivid red,ˈskɑːrlət,danh từ,Bright red flag,màu đỏ rực,Một màu đỏ sáng; đỏ sống động,,,true,2026-03-18 23:22:53.645,2026-03-18 23:22:53.645
0b2a09b6-1fa3-4231-85da-9b22aabdd724,b07f3d0e-a184-4cd0-937d-4f3cbd063d36,Goodbye,Farewell,ˌɡʊdˈbaɪ,interjection,"Goodbye, see you.",Tạm biệt,Lời tạm biệt,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
0baa1e63-d51f-4328-ab35-1ee90425d9b2,c93ab659-8f04-4947-b4fc-e9b66409b54f,Vice,Moral fault,vaɪs,noun,Vice unhappiness.,Tội lỗi,Lỗi đạo,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
0bc8e823-50e0-4c6b-bf2c-8ab8d5c47eac,3bbde304-12b8-40b2-a620-510efc4a776f,Three,Number 3,θri,number,I have three birds.,Ba,Số 3,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
0be42ab1-dc1c-4407-9da7-092ac82efa49,a6f9ef68-d647-4df6-9121-19ec9c0fee72,Welcome,Greet visitor,ˈwɛl.kəm,interjection,Welcome home!,Chào mừng,Lời chào mừng,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
0bf59b4c-20bd-4bcc-8abc-d6d8dcd97770,0c65a440-ca84-4f96-a502-a5c9aebdef77,energy drink,a drink with caffeine and sugar,/energy_drink/,danh từ,Athletes drink energy drinks,đồ uống tăng lực,đồ uống có caffeine và đường,,,true,2026-03-18 23:26:07.668,2026-03-18 23:26:07.668
0c0c1f7a-3bd8-4b8a-8a5d-ec732d70d086,68cc7887-5460-44f9-a583-9dbf0e95b24d,Epistemology,Knowledge study,ˌɛp.ɪ.stəˈmɑl.ə.dʒi,noun,Epistemology knowledge.,Nhận thức luận,Nghiên cứu,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
0c2d3fd2-d0b6-42ea-a743-60fdbf14b898,805d2653-cac0-438b-953b-cb1f832c4321,Pragmatism,Results based,ˈpræɡ.mə.tɪz.əm,noun,Pragmatism results.,Thực dụng,Dựa trên,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
0c2ddfca-50b1-466b-8f76-fd231d7a3620,fed0d635-a1bb-4732-bb7a-b8caf4c21b12,vacation,time away from work,/vacation/,danh từ,vacation example,vacation,Một khái niệm liên quan đến travel,,,true,2026-03-18 23:27:06.141,2026-03-18 23:27:06.141
0c32b5b1-05db-4ce1-94be-ee517ac6fced,59baddf7-e856-4276-9fab-c2cbd73c8911,Worried,Feeling anxiety,ˈwɝ.id,adjective,Worried exam.,Lo lắng,Cảm giác lo,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
0c8d6ac8-136f-41ff-ab83-15ae9ea733f8,84b45efa-148b-4307-94b0-ebaae6c7b32a,Virtue,Moral quality,ˈvɝ.tʃu,noun,Virtue happiness path.,Đức hạnh,Phẩm chất,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
0cac4cc5-2eba-49c4-b47c-400a8b420ec7,48adeeb4-ea05-4c89-95d1-7c278e83dedb,Epistemology,Knowledge study,ˌɛp.ɪ.stəˈmɑl.ə.dʒi,noun,Epistemology knowledge.,Nhận thức luận,Nghiên cứu,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
0caff94d-8099-4cdc-a8ae-0377934c6714,0c65a440-ca84-4f96-a502-a5c9aebdef77,shake,a creamy drink with milk and flavoring,/shake/,danh từ,Vanilla shake is tasty,sinh tố sữa,đồ uống kem với sữa và hương liệu,,,true,2026-03-18 23:26:07.668,2026-03-18 23:26:07.668
0cc7b949-a46e-4a6c-ab62-e1d5350dc877,9c08d2d5-ab12-4b90-9273-35e16928fd20,Grandmother,Mother of parent,ˈɡræn.ˌmʌð.ɚ,noun,Grandmother tells stories.,Bà,"Ngoại, nội",,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
0cf6b6fb-59c7-44a9-b7f1-f87bf02bed69,95ad0b6d-ecef-4e64-9d00-1f9a355214bb,Excited,Feeling enthusiasm,ɪkˈsaɪ.tɪd,adjective,I excited trip.,Phấn khích,Cảm giác hạnh,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
0cfea7de-1376-4744-a2e3-9c4f814ca3dc,ff02df4a-ece1-4847-923b-0f9273cb89be,Happy,Feeling joy,ˈhæp.i,adjective,I am happy today.,Vui,Cảm giác vui,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
0d12f89a-2dbc-473d-b606-ace0af200b2c,69d16e3e-74ca-45eb-8c06-8cef65b85134,Logic,Reasoning system,ˈlɑdʒ.ɪk,noun,Logic basis philosophy.,Lôgic,Hệ thống,,,true,2026-03-26 14:30:40.658877,2026-03-26 14:30:40.658877
